issuekey,issuetype,project,status,resolution,created,timeestimate,aggregatetimeoriginalestimate,aggregatetimeestimate,timespent,aggregatetimespent,resolutiondate,customfield_10000,customfield_10001,customfield_11412,customfield_10103,customfield_10600,customfield_10103
DEVOPS-814,Task,DEVOPS,Closed,Done,2017-08-16T13:37:35.000+1200,0,14400,0,21600,21600,2018-02-02T14:42:46.000+1300,DevOps - Sprint 32,None,None,None,,None,
DEVOPS-478,Story,DEVOPS,Closed,Done,2017-04-21T14:32:37.000+1200,140400,144000,140400,3600,3600,2018-04-13T14:59:21.000+1200,DevOps - Sprint 32,None,None,9,,9,
DEVOPS-856,Test,DEVOPS,Closed,Done,2017-08-28T17:09:09.000+1200,None,None,None,None,None,2018-04-13T14:49:49.000+1200,DevOps - Sprint 32,None,None,None,,None,
STORM-127,Story,STORM,Open,None,2017-05-30T17:58:41.000+1200,None,None,None,None,None,None,DevOps - Sprint 32,None,None,None,,None,
ARCS-126,Story,ARCS,Closed,Done,2018-03-21T14:30:59.000+1300,57600,144000,57600,86400,86400,2018-03-22T11:03:18.000+1300,DevOps - Sprint 32,None,None,None,,None,
DEVOPS-1258,Story,DEVOPS,Closed,Done,2018-01-18T11:45:34.000+1300,None,None,None,None,None,2018-04-13T15:53:58.000+1200,DevOps - Sprint 35,None,None,None,,None,
SWAG2-6730,Bug,SWAG2,Closed,Not Required,2017-11-29T18:42:15.000+1300,0,None,0,None,None,2017-11-30T22:20:36.000+1300,DevOps - Sprint 35,None,None,None,,None,
DBA-267,Task,DBA,Closed,Done,2017-11-09T17:49:29.000+1300,0,None,0,10800,10800,2018-04-23T21:57:04.000+1200,DevOps - Sprint 35,None,None,None,,None,
SWAG-7476,Sub-task,SWAG,Resolved,Done,2017-05-22T14:32:44.000+1200,None,None,None,None,None,2017-05-22T15:13:33.000+1200,DevOps - Sprint 35,None,None,None,,None,
ARCS-29,Story,ARCS,Closed,Done,2017-02-28T09:17:18.000+1300,0,144000,0,144000,144000,2017-03-15T09:49:40.000+1300,DevOps - Sprint-15,ARCS-18,None,9,MO-17-AMSITR-ARCDR,9,
SWAG-7361,Sub-task,SWAG,Resolved,Done,2017-03-27T16:26:08.000+1300,None,None,None,None,None,2017-04-03T11:20:05.000+1200,DevOps - Sprint-15,None,None,None,,None,
DEVOPS-336,Task,DEVOPS,Closed,Done,2017-01-31T09:50:09.000+1300,5400,28800,5400,23400,23400,2017-02-01T11:53:55.000+1300,DevOps - Sprint-15,None,None,9,,9,
DEVOPS-130,Task,DEVOPS,Closed,Done,2016-08-18T06:06:36.000+1200,0,None,0,57600,57600,2016-08-29T11:29:17.000+1200,DevOps - Sprint-15,None,None,9,,9,
SWAG2-8530,Story,SWAG2,Waiting Triage,None,2018-03-09T10:56:38.000+1300,0,None,0,172800,172800,None,DevOps - Sprint-15,SWAG-7174,None,None,MC-18-AMSITAUS-CONT-DS,None,
TECHOVER-65,Sub-task,TECHOVER,Backlog,None,2018-04-12T12:06:05.000+1200,0,None,0,143100,143100,None,Interfaces Sprint 05,None,None,None,TECHOVER-OTHER,None,
