id,created,issueId,author.name,timeSpentSeconds
47505,45469,2017-08-16T13:39:14.787+1200,lanem,3600
41359,39708,2017-04-21T14:33:55.460+1200,wienholzc_ams,3600
61122,55325,2018-03-21T14:33:28.876+1300,wienholzc_ams,57600
52118,49799,2017-11-10T06:19:13.822+1300,GarayarK,10800
39568,37529,2017-03-15T09:48:55.128+1300,wienholzc_ams,144000
38071,36516,2017-01-31T12:02:37.115+1300,lanem,5400
35787,30750,2016-08-29T11:29:17.898+1200,lanem,57600
64527,54586,2018-04-17T14:25:46.760+1200,MattS,3600
63975,56429,2018-04-12T16:27:19.322+1200,JBain,1800
